state,county,age_adjusted_rate_per_100_000,state_abbrv
Arizona,Mohave,405.2,AZ
Texas,Caldwell,404.9,TX
California,Mendocino,404.7,CA
Virginia,Northumberland,404.4,VA
Texas,Upton,404.2,TX
Colorado,Denver,404.1,CO
Texas,Harris,404.0,TX
Mississippi,Oktibbeha,403.9,MS
Arkansas,Polk,403.9,AR
Wyoming,Big Horn,403.8,WY
Texas,Scurry,403.7,TX
Montana,Wibaux,403.7,MT
Maryland,Garrett,403.6,MD
Nebraska,Sherman,403.4,NE
Virginia,Patrick,403.3,VA
Massachusetts,Dukes,403.3,MA
Florida,Franklin,403.2,FL
Texas,Comanche,403.1,TX
Georgia,Taylor,403.0,GA
Tennessee,Johnson,402.9,TN
California,Mariposa,402.9,CA
Georgia,Long,402.9,GA
Ohio,Darke,402.8,OH
Virginia,Rockingham,402.8,VA
Pennsylvania,Franklin,402.7,PA
Colorado,Adams,402.7,CO
North Carolina,Pasquotank,402.6,NC
California,Kern,402.5,CA
Wyoming,Sheridan,402.5,WY
Virginia,Madison,402.3,VA
Missouri,Daviess,402.0,MO
Nebraska,Keya Paha,401.9,NE
Colorado,Jefferson,401.9,CO
Texas,Live Oak,401.8,TX
Texas,Austin,401.8,TX
Texas,Mills,401.7,TX
California,Nevada,400.9,CA
New Mexico,Otero,400.5,NM
Nebraska,Hayes,400.4,NE
North Dakota,Grant,400.4,ND
Arkansas,Columbia,400.4,AR
Wisconsin,Eau Claire,400.4,WI
Washington,Wahkiakum,400.1,WA
Oregon,Union,400.1,OR
Texas,Shackelford,400.1,TX
Michigan,Iron,400.0,MI
Tennessee,Moore,400.0,TN
Texas,Kinney,400.0,TX
Michigan,Branch,399.8,MI
Michigan,St. Joseph,399.5,MI
Missouri,Carroll,399.4,MO
North Dakota,Cavalier,399.4,ND
Washington,Franklin,399.4,WA
Texas,Hall,399.3,TX
Wisconsin,Richland,399.2,WI
New York,Queens,399.2,NY
Wyoming,Sweetwater,399.1,WY
Oregon,Jefferson,399.0,OR
California,San Mateo,398.8,CA
Wisconsin,St. Croix,398.8,WI
Missouri,Schuyler,398.8,MO
South Dakota,Tripp,398.7,SD
Colorado,Douglas,398.6,CO
California,San Bernardino,398.6,CA
Colorado,Routt,398.5,CO
Michigan,Cass,398.5,MI
Oregon,Douglas,398.2,OR
Tennessee,Pickett,398.1,TN
Kentucky,Elliott,398.0,KY
Arizona,Pima,397.9,AZ
New Mexico,Sierra,397.9,NM
Texas,Floyd,397.8,TX
California,Riverside,397.8,CA
Washington,Pacific,397.7,WA
South Carolina,Calhoun,397.6,SC
South Carolina,Barnwell,397.0,SC
South Dakota,Bennett,397.0,SD
Iowa,Adair,396.9,IA
California,San Benito,396.9,CA
Texas,Brooks,396.5,TX
Missouri,Atchison,396.5,MO
Idaho,Adams,396.4,ID
Texas,Mason,396.4,TX
Virginia,Frederick,396.2,VA
California,San Joaquin,396.2,CA
Michigan,Genesee,396.2,MI
Colorado,Otero,396.0,CO
Texas,Ward,395.8,TX
Montana,Mineral,395.6,MT
Oregon,Tillamook,395.3,OR
Arizona,Maricopa,395.2,AZ
New Mexico,Valencia,395.0,NM
Alabama,Covington,394.7,AL
Texas,Midland,394.6,TX
Texas,Fort Bend,394.6,TX
Washington,Lewis,394.6,WA
Arkansas,Howard,394.5,AR
Alabama,Shelby,394.4,AL
Missouri,Platte,394.3,MO
Oregon,Morrow,394.3,OR
Maryland,Montgomery,394.2,MD
Arkansas,Izard,394.1,AR
California,Madera,393.9,CA
Georgia,Jenkins,393.9,GA
Arizona,Cochise,393.9,AZ
Nebraska,Dawson,393.8,NE
Georgia,Wilcox,393.2,GA
Alabama,Escambia,393.2,AL
Oklahoma,Cotton,393.2,OK
Colorado,Arapahoe,393.1,CO
Texas,Nacogdoches,393.1,TX
Utah,Utah,393.0,UT
Utah,Millard,392.9,UT
Mississippi,Greene,392.7,MS
Nebraska,Wayne,392.5,NE
Arkansas,Madison,392.4,AR
Texas,Erath,392.2,TX
Arkansas,Washington,391.8,AR
North Dakota,McIntosh,391.8,ND
South Dakota,Sully,391.6,SD
Texas,Motley,391.4,TX
Colorado,Broomfield,391.3,CO
Colorado,Huerfano,391.3,CO
